table with row headers in column B and column headers in rows 3 through 4;;;;;;;;;;;;;
Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2019 Population: April 1, 2010 to July 1, 2019;;;;;;;;;;;;;
Rank;Geographic Area;avril 1, 2010;;Population Estimate (as of July 1);;;;;;;;;
207;Cedar Rapids city, Iowa;126326;126580;126852;128231;128478;128826;129662;130832;131397;132564;133209;133562
208;Round Rock city, Texas;99887;100021;100772;103864;106504;109547;112665;115981;120864;123684;128849;133372
209;Sterling Heights city, Michigan;129699;129675;129709;130042;130672;131521;132136;132041;132522;132681;132725;132438
210;Kent city, Washington;92411;118620;119067;122165;124739;126118;127727;129241;130508;131697;131734;132319
211;Columbia city, South Carolina;129272;130421;130774;131302;131761;131527;131781;133616;134129;134005;132770;131674
212;Santa Clara city, California;116468;116453;116761;117836;119337;120486;121967;126024;126429;126709;129085;130365
213;New Haven city, Connecticut;129779;129884;129816;130845;131114;130906;130611;130383;130417;130653;129993;130250
214;Stamford city, Connecticut;122643;122633;122781;123988;125046;126306;127951;128352;128974;129880;129806;129638
215;Concord city, California;122067;122169;122505;123518;124678;125888;127128;128303;129036;129592;129743;129295
216;Elizabeth city, New Jersey;124969;124973;125257;125792;126595;127278;127658;127661;127968;128175;128599;129216
217;Athens-Clarke County unified government (balance), Georgia;115452;115387;116102;116928;118584;119566;119059;122213;123523;125409;125857;126913
218;Thousand Oaks city, California;126683;126490;126732;127325;127657;128224;128636;128632;128480;128229;127279;126813
219;Lafayette city, Louisiana;120623;121667;121836;122674;123587;124873;126036;126922;127221;126526;126371;126185
220;Simi Valley city, California;124237;124242;124463;125019;125274;125868;126239;126123;125958;126107;125438;125613
221;Topeka city, Kansas;127473;127630;127914;128228;128095;127725;127489;127396;126948;126517;125778;125310
222;Norman city, Oklahoma;110925;110911;111402;113882;115600;118695;118228;120239;121974;123390;123844;124880
223;Fargo city, North Dakota;105549;105625;106025;108142;110881;113739;115715;118093;120149;122420;124091;124662
